animal;biome;status;popularity;cost;location
Grizzly Bear;Boreal Forest;Endangered;3.5;$15,000;North America
Polar Bear;Tundra;Low risk;3;$10,000;Arctic
American Beaver;Wetlands;Vulnerable;3;$10,000;North America
Dromedary Camel;Desert;Low Risk;0.5;$1,250;North Africa
Cheetah;Savannah;Vulnerable;2.5;$7,500;Africa
Chimpanzee;Tropical Rainforest;Endangered;3.5;$15,000;Central Africa
Nile Crocodile;Wetlands;Low Risk;1.5;$3,000;Central Africa
African Elephant;Savannah;Endangered;4;$20,000;Africa
Greater Flamingo;Wetlands;Low Risk;1;$2,000;Central Africa
Thomson's Gazelle;Savannah;Low Risk;0.5;$1,250;East Africa
Gemsbok;Scrub;Low Risk;1;$2,000;Southern Africa
Reticulated Giraffe;Savannah;Low Risk;2.5;$7,500;East Africa
Mountain Gorilla;Tropical Rainforest;Endangered;4;$20,000;Central Africa
Hippopotamus;Wetlands;Vulnerable;2.5;$7,500;Central Africa
Ibex;Alpine;Vulnerable;1.5;$3,000;European Alps
Jaguar;Tropical Rainforest;Low Risk;2;$5,500;South America
Red Kangaroo;Scrub;Low Risk;1.5;$3,000;Australia
Ring-Tailed Lemur;Temperate Forest;Vulnerable;3;$10,000;Madagascar
Snow Leopard;Alpine;Endangered;4;$20,000;Asia
Lion;Savannah;Vulnerable;2.5;$7,500;Africa
Moose;Boreal Forest;Low Risk;0.5;$1,250;North America
Okapi;Tropical Rainforest;Low Risk;2;$5,500;Central Africa
Ostrich;Savannah;Low Risk;2;$5,500;Africa
Giant Panda;Temperate Forest;Endangered;5;$50,000;China
Red Panda;Temperate Forest;Endangered;4;$20,000;China
Common Peafowl;Temperate Forest;Low Risk;0.5;$1,250;Asia
Emperor Penguin;Tundra;Low Risk;1;$2,000;Antarctica
Black Rhinoceros;Savannah;Critically Endangered;3;$10,000;East Africa
Bengal Tiger;Tropical Rainforest;Endangered;3.5;$15,000;Southeast Asia
Common Zebra;Savannah;Low Risk;1.5;$3,000;East Africa
Giant Sable Antelope;Savannah;Critically Endangered;2;$5,500;Southern Africa
Spectacled Bear;Temperate Forest;Vulnerable;4;$20,000;South America
American Bison;Grassland;Low Risk;0.5;$1,250;North America
Caribou;Tundra;Vulnerable;0.5;$1,250;Arctic
Fennec Fox;Desert;Low Risk;2;$5,500;North Africa
Crested Gibbon;Tropical Rainforest;Endangered;4;$20,000;Southeast Asia
Przewalski's Wild Horse;Grassland;Critically Endangered;3;$10,000;Central Asia
Koala;Temperate Forest;Low Risk;2.5;$7,500;Australia
Komodo Dragon;Scrub;Vulnerable;2;$5,500;Southeast Asia
Spanish Lynx;Temperate Forest;Critically Endangered;3.5;$15,000;Spain
Markhor;Alpine;Endangered;2;$5,500;Asia
Orangutan;Tropical Rainforest;Endangered;4.5;$35,000;Southeast Asia
Scimitar-Horned Oryx;Desert;Critically Endangered;1;$2,000;North Africa
Florida Panther;Wetlands;Critically Endangered;5;$45,000;Florida
Javan Rhinoceros;Tropical Rainforest;Critically Endangered;3.5;$15,000;Southeast Asia
Baird's Tapir;Tropical Rainforest;Endangered;1.5;$3,000;Central America
Galapagos Giant Tortoise;Scrub;Endangered;1.5;$3,000;South America
African Wild Dog;Savannah;Endangered;3.5;$15,000;Southern Africa
Gray Wolf;Boreal Forest;Low Risk;2.5;$7,500;North America
Wolverine;Boreal Forest;Vulnerable;3;$10,000;North America
Aardvark;Scrub;Low Risk;2.5;$10,000;Africa
African Buffalo;Wetlands;Low Risk;0.5;$1,250;Africa
African Spurred Tortoise;Desert;Vulnerable;1;$2,000;North Africa
Barbary Ape;Temperate Forest;Vulnerable;2.5;$7,500;Northwest Africa
Bongo;Tropical Rainforest;Low Risk;0.5;$1,250;Central Africa
Caracal;Scrub;Low Risk;4.5;$35,000;Africa and Asia
Ethiopian Wolf;Alpine;Critically Endangered;5;$45,000;Ethiopia
